Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Count,Source,Position,Scenario,Mean,Error,StdDev,Median,Ratio,RatioSD,Gen0,Gen1,Gen2,Allocated,Alloc Ratio
RepeatedEnumerationBenchmarks,EnumerateWhereThreeTimes,.NET 10.0.8 Default,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000,Array,?,?,471.870 μs,9.2095 μs,14.6072 μs,467.166 μs,1.00,0.04,0.0000,0.0000,0.0000,144 B,1.00
RepeatedEnumerationBenchmarks,MaterializeThenEnumerateThreeTimes,.NET 10.0.8 Default,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000,Array,?,?,314.475 μs,5.9036 μs,5.5223 μs,314.815 μs,0.67,0.02,83.0078,83.0078,83.0078,266820 B,"1,852.92"
ExistenceBenchmarks,AnyPredicate,.NET 10.0.8 Default,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000,?,Middle,?,19.621 μs,0.8747 μs,2.5790 μs,19.157 μs,1.02,0.18,0.0000,0.0000,0.0000,0 B,NA
ExistenceBenchmarks,CountPredicateGreaterThanZero,.NET 10.0.8 Default,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000,?,Middle,?,40.800 μs,1.5252 μs,4.3514 μs,40.165 μs,2.11,0.34,0.0000,0.0000,0.0000,0 B,NA
ExistenceBenchmarks,AnyPredicate,.NET 10.0.8 Default,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000,?,End,?,43.486 μs,1.5975 μs,4.5319 μs,43.556 μs,1.01,0.15,0.0000,0.0000,0.0000,0 B,NA
ExistenceBenchmarks,CountPredicateGreaterThanZero,.NET 10.0.8 Default,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000,?,End,?,36.139 μs,1.4374 μs,4.0306 μs,35.084 μs,0.84,0.13,0.0000,0.0000,0.0000,0 B,NA
ExistenceBenchmarks,AnyPredicate,.NET 10.0.8 Default,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000,?,NoMatch,?,37.350 μs,2.1802 μs,6.0414 μs,35.250 μs,1.02,0.21,0.0000,0.0000,0.0000,0 B,NA
ExistenceBenchmarks,CountPredicateGreaterThanZero,.NET 10.0.8 Default,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100000,?,NoMatch,?,33.937 μs,0.5936 μs,1.2777 μs,33.669 μs,0.93,0.13,0.0000,0.0000,0.0000,0 B,NA
NestedLookupBenchmarks,FirstInsideOrderLoop,.NET 10.0.8 Default,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,?,?,Custo(...)ers10 [22],2.759 μs,0.0515 μs,0.0529 μs,2.745 μs,1.00,0.03,0.1030,0.0000,0.0000,880 B,1.00
NestedLookupBenchmarks,BuildDictionaryThenLookup,.NET 10.0.8 Default,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,?,?,?,Custo(...)ers10 [22],3.555 μs,0.0707 μs,0.0726 μs,3.550 μs,1.29,0.04,3.1738,0.2861,0.0000,26608 B,30.24
