Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Scenario,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Gen1,Gen2,Allocated,Alloc Ratio
FirstInsideOrderLoop,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers10 [21],303.02 ns,2.290 ns,0.595 ns,1.00,0.00,0.1049,0.0000,0.0000,880 B,1.00
Join,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers10 [21],"1,625.70 ns",58.549 ns,15.205 ns,5.37,0.05,1.3313,0.0477,0.0000,11144 B,12.66
BuildDictionaryThenLookup,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers10 [21],273.83 ns,5.113 ns,0.791 ns,0.90,0.00,0.3228,0.0019,0.0000,2704 B,3.07
LookupInPrebuiltDictionary,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers10 [21],15.85 ns,0.151 ns,0.039 ns,0.05,0.00,0.0000,0.0000,0.0000,0 B,0.00
FirstInsideOrderLoop,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)rs100 [22],"2,541.51 ns",15.248 ns,2.360 ns,1.00,0.00,1.0490,0.0000,0.0000,8800 B,1.00
Join,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)rs100 [22],"2,531.30 ns",14.673 ns,2.271 ns,1.00,0.00,1.3313,0.0458,0.0000,11144 B,1.27
BuildDictionaryThenLookup,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)rs100 [22],416.26 ns,0.922 ns,0.143 ns,0.16,0.00,0.3228,0.0019,0.0000,2704 B,0.31
LookupInPrebuiltDictionary,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)rs100 [22],166.36 ns,0.981 ns,0.255 ns,0.07,0.00,0.0000,0.0000,0.0000,0 B,0.00
FirstInsideOrderLoop,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers10 [22],"1,955.87 ns",14.855 ns,3.858 ns,1.000,0.00,0.1030,0.0000,0.0000,880 B,1.00
Join,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,Custo(...)ers10 [22],"15,166.68 ns","3,312.875 ns",860.343 ns,7.754,0.40,12.5122,3.0975,0.0000,104728 B,119.01
