Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Count,Source,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Gen1,Gen2,Allocated,Alloc Ratio
EnumerateWhereThreeTimes,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,100,Array,374.1 ns,38.27 ns,9.94 ns,1.00,0.03,0.0172,0.0000,0.0000,144 B,1.00
MaterializeThenEnumerateThreeTimes,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,100,Array,226.7 ns,3.63 ns,0.94 ns,0.61,0.01,0.0401,0.0000,0.0000,336 B,2.33
EnumerateWhereThreeTimes,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,100,Yield,474.3 ns,13.47 ns,3.50 ns,1.00,0.01,0.0200,0.0000,0.0000,168 B,1.00
MaterializeThenEnumerateThreeTimes,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,100,Yield,310.7 ns,3.28 ns,0.85 ns,0.66,0.00,0.0410,0.0000,0.0000,344 B,2.05
EnumerateWhereThreeTimes,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,10000,Array,"37,962.2 ns","4,099.99 ns",634.48 ns,1.00,0.02,0.0000,0.0000,0.0000,144 B,1.00
MaterializeThenEnumerateThreeTimes,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,10000,Array,"26,414.4 ns",537.32 ns,139.54 ns,0.70,0.01,3.1738,0.2747,0.0000,26832 B,186.33
EnumerateWhereThreeTimes,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,10000,Yield,"45,411.9 ns","1,157.91 ns",300.71 ns,1.00,0.01,0.0000,0.0000,0.0000,168 B,1.00
MaterializeThenEnumerateThreeTimes,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,10000,Yield,"36,706.8 ns",634.16 ns,164.69 ns,0.81,0.01,3.1738,0.2441,0.0000,26840 B,159.76
EnumerateWhereThreeTimes,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,100000,Array,"371,076.3 ns","45,728.39 ns","11,875.52 ns",1.00,0.04,0.0000,0.0000,0.0000,144 B,1.00
MaterializeThenEnumerateThreeTimes,.NET 10.0.8,False,Default,Default,Default,Default,Default,Default,0000000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,5,Default,1,Default,Default,Default,Default,Default,Default,16,3,100000,Array,"278,148.8 ns","4,791.32 ns","1,244.29 ns",0.75,0.02,83.0078,83.0078,83.0078,266820 B,"1,852.92"
